@relation FakeAndRealProfiles-weka.filters.supervised.instance.SMOTE-C1-K5-P1000.0-S1

@attribute first-name-features:isamazonFirstNameMatchestwitterFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatchespaypalFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatcheslinkedinFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:isamazonFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatchespaypalFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatcheslinkedinFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:istwitterFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:ispaypalFirstNameMatcheslinkedinFirstName {0,1}
@attribute first-name-features:ispaypalFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:ispaypalFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:islinkedinFirstNameMatchesgoogleFirstName {0,1}
@attribute first-name-features:islinkedinFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:isgoogleFirstNameMatchesfacebookFirstName {0,1}
@attribute first-name-features:isFacebookFirstNameMatchEmail {0,1}
@attribute facebook:numOfCheckinsAtFirstMostRecentEducationLastYear numeric
@attribute facebook:numOfCheckinsAtFirstMostRecentEducationThisYear numeric
@attribute facebook:numOfCheckinsAtSecondMostRecentEducationLastYear numeric
@attribute facebook:numOfCheckinsAtSecondMostRecentEducationThisYear numeric
@attribute facebook:numOfCheckinsAtThirdMostRecentEducationLastYear numeric
@attribute facebook:numOfCheckinsAtThirdMostRecentEducationThisYear numeric
@attribute facebook:numOfCloseFriends numeric
@attribute facebook:numOfCollegeFriends numeric
@attribute facebook:numOfCoworkers numeric
@attribute facebook:numOfEvents numeric
@attribute facebook:numOfEventsAttended numeric
@attribute facebook:numOfFamilyMembers numeric
@attribute facebook:numOfFriends numeric
@attribute facebook:numOfFriendsBirthWithinFiveYears numeric
@attribute facebook:numOfFriendsBirthWithinFourYears numeric
@attribute facebook:numOfFriendsBirthWithinOneYear numeric
@attribute facebook:numOfFriendsBirthWithinThreeYears numeric
@attribute facebook:numOfFriendsBirthWithinTwoYears numeric
@attribute facebook:numOfFriendsFromFirstMostRecentEducation numeric
@attribute facebook:numOfFriendsFromFirstMostRecentEducationWithSameGraduationYear numeric
@attribute facebook:numOfFriendsFromSecondMostRecentEducation numeric
@attribute facebook:numOfFriendsFromSecondMostRecentEducationWithSameGraduationYear numeric
@attribute facebook:numOfFriendsFromThirdMostRecentEducation numeric
@attribute facebook:numOfFriendsFromThirdMostRecentEducationWithSameGraduationYear numeric
@attribute facebook:numOfFriendsWorkingAtFirstMostRecentEducation numeric
@attribute facebook:numOfFriendsWorkingAtSecondMostRecentEducation numeric
@attribute facebook:numOfFriendsWorkingAtThirdMostRecentEducation numeric
@attribute facebook:numOfGroups numeric
@attribute facebook:numOfGroupsAdministrating numeric
@attribute facebook:numOfLikes numeric
@attribute facebook:numOfLinks numeric
@attribute facebook:numOfLocations numeric
@attribute facebook:numOfPhotos numeric
@attribute facebook:numOfPosts numeric
@attribute facebook:numOfReceivedComments numeric
@attribute facebook:numOfReceivedLikes numeric
@attribute facebook:numOfSchoolFriends numeric
@attribute facebook:numOfStatuses numeric
@attribute facebook:numOfStudentFriends numeric
@attribute facebook:numOfStudentFriendsWithinOneYearAgeDifference numeric
@attribute facebook:numOfStudentFriendsWithinThreeYearsAgeDifference numeric
@attribute facebook:numOfStudentFriendsWithinTwoYearsAgeDifference numeric
@attribute facebook:numOfStudentFriendsWithSameAge numeric
@attribute facebook:numOfTagged numeric
@attribute linkedin:numOfCompanies numeric
@attribute linkedin:numOfConnections numeric
@attribute linkedin:numOfCoworkers numeric
@attribute linkedin:numOfFriendsFromFirstMostRecentEducation numeric
@attribute linkedin:numOfFriendsFromFirstMostRecentEducationWithSameGraduationYear numeric
@attribute linkedin:numOfFriendsFromSecondMostRecentEducation numeric
@attribute linkedin:numOfFriendsFromSecondMostRecentEducationWithSameGraduationYear numeric
@attribute linkedin:numOfFriendsFromThirdMostRecentEducation numeric
@attribute linkedin:numOfFriendsFromThirdMostRecentEducationWithSameGraduationYear numeric
@attribute linkedin:numOfFriendsWorkingAtFirstMostRecentEducation numeric
@attribute linkedin:numOfFriendsWorkingAtSecondMostRecentEducation numeric
@attribute linkedin:numOfFriendsWorkingAtThirdMostRecentEducation numeric
@attribute linkedin:numOfLinkedTwitterAccounts numeric
@attribute linkedin:numOfPositions numeric
@attribute linkedin:numOfRecommendationsReceived numeric
@attribute linkedin:numOfSchoolFriends numeric
@attribute linkedin:numOfStudentFriends numeric
@attribute twitter:numOfFavoritedTweets numeric
@attribute twitter:numOfFollowers numeric
@attribute twitter:numOfFriends numeric
@attribute twitter:numOfReceivedFavorites numeric
@attribute twitter:numOfReceivedRetweets numeric
@attribute twitter:numOfRetweetedTweets numeric
@attribute twitter:numOfTweets numeric
@attribute skynet:isEverythingEmpty {0,1}
@attribute class {fake,real}

@data

?,?,?,?,?,?,1,?,1,?,?,?,?,1,?,0,0,0,0,0,0,0,2,0,0,0,0,0,71,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,13,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,2,0,0,1,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,0,?,?,?,?,10,0,0,0,?,0,212,4,3,2,3,3,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,13,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,3,2,1,0,?,0,271,8,8,6,7,7,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,16,3,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,0,1,0,0,?,0,23,7,6,5,6,6,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,0,0,2,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,1,0,2,0,?,0,61,8,6,6,6,6,0,0,?,?,?,?,0,?,?,0,?,?,?,?,6,?,2,2,0,?,2,0,0,0,0,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,0,?,?,?,?,12,0,1,0,?,0,500,7,5,5,5,5,0,0,?,?,?,?,0,?,?,0,?,?,?,?,1,?,4,18,2,?,2,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,5,0,0,0,?,0,113,3,3,2,3,2,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,4,5,0,?,1,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,7,0,0,0,?,0,174,3,3,0,3,2,0,0,?,?,?,?,0,?,?,0,?,?,?,?,1,?,4,26,0,?,1,0,1,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,?,0,0,0,0,0,0,4,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,4,0,0,0,1,2,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,13,0,0,0,2,0,fake
?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,0,0,4,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,4,0,0,0,1,2,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.319156,0,0,0,0,0,71,0.948759,0.921481,0,0.957702,0,0,0,0,0,0,0,0,0,0,0,0,14.081516,2.619596,0,0.683527,8.623664,1.02497,6.113975,0,1,1.691311,0,0,0,0,0,0.112821,2.516822,0,0,0,0,0,0,0,0,0,0,0,0.340915,0,0,0,0.907821,0.989239,39.584622,1.282011,0,0,1.109841,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033794,0,0,0,0,0,41.965265,5.544154,0.239285,0,0.276628,0,0,0,0,0,0,0,0,0,0,0,0,14.831584,2.777856,0,0,7.564147,0.300718,4.523237,0,0.707907,0.876443,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2.008352,1.092748,0.83552,0,?,0,246.590504,7.255963,3.448013,2.545519,4.390091,0.349048,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,9.411081,2.843544,?,0.027926,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,1.642675,0.029633,0,0,?,0,54.247485,7,2.6704,2.973156,5.049449,3.089575,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,1.093192,4.762043,1.099385,?,0.315315,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065989,0,0,0,0,0,45.084921,0.465478,0.600876,0,0.192901,0,0,0,0,0,0,0,0,0,0,0,0,8.294362,0.845563,0,0,4.054601,0.191978,0.675185,0,0.450069,0.45473,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2.657482,1.286553,0.067801,0,?,0,253.596163,7.943693,7.606978,1.040346,1.993346,6.456155,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,11.797454,0.803205,?,0.693804,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,0.131428,0.890626,0,0,?,0,25.812137,7,4.434002,2.44118,2.655859,2.421817,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,0.748088,0.720453,1.245276,?,0.894105,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2.078529,1.788394,0.568063,0,?,0,226.994254,7.917871,5.622602,4.747774,3.789196,0.40418,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,13.942369,0.945496,?,0.862476,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,2.391959,0.089895,0.813987,0,?,0,126.591957,7.975147,6.958889,1.370695,1.489603,3.356115,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,2,12.868968,0.147053,?,0.726645,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,1.295172,0.567698,0,0,?,0,64.323594,7,2.185545,0.97271,5.599527,5.471328,0,0,?,?,?,?,0,?,?,0,?,?,?,?,0,?,0.332329,2.754823,0.781955,?,0.788428,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563263,0,0,0,0,0,27.385544,6.380871,0.247682,0,0.815509,0,0,0,0,0,0,0,0,0,0,0,0,12.453831,2.747909,0,0,12.777095,0.716343,5.188437,0,0.827814,0.678943,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,fake
